"id","frameCond","timeCond","startDate","endDate","recordedDate","durationSecs","consent","sliderTraining","dgComp","manipCheckPre","dgFirstClickSecs","dgLastClickSecs","dgPageSubmitSecs","dgClickCount","dgAmountGiven","explanation","experience","manipCheckPost","studyPurpose","debrief","prolificApprovals","fluentLanguages","age","sex","ethnicity","countryBirth","countryResidence","nationality","language","student","employment"
1001,"Debt","Pressure",2023-08-20 16:33:08,2023-08-20 16:43:17,2023-08-20 16:43:18,609,"I consent to participate in this study. Take me to the study.",0.26,"You would earn $0.75, and the other person would earn $0.25","When they were asked how much of the dollar to give to me and how much they got to keep, they chose to give me .25 and then they said to give me the quadrupled amount. Giving me $1 and they had .75",7.25,17.567,18.633,12,0.5,"We each get the same amount, which seems fair","No experience","The other person decided to give me .25 out of the dollar and kept .75 for themself. Then they were asked if the money should be multiplied by four, and they said yes. Leaving me with $1 and they stayed at .75","My best guess is seeing how people valued money and how much they looked out for themselves in comparison to a stranger they will never talk to","No, I would like to complete the study.",29,"English",20,"Female","White","United States","United States","United States","English","Yes",NA
1002,"Need","Pressure",2023-08-20 16:37:19,2023-08-20 16:44:45,2023-08-20 16:44:45,445,"I consent to participate in this study. Take me to the study.",0.7,"You would earn $0.75, and the other person would earn $0.25","The other person lacks easy access to food and often takes meals at a soup kitchen.",3.746,3.746,6.986,1,1,"This dollar wouldn't mean as much to me, so I can give the whole thing to someone who needs help. A dollar can buy a lot more than people think. Plus, it's easy to give in format (via the survey) with no other obligation.","Some experience","The other person lacks easy access to food and often takes meals at a soup kitchen.","To see if learning that the other person was struggling can impact how much money the survey respondent will give, like if they'll give more compared to a survey where they aren't told about the other person. If you'd told me the other person was a billionaire, for instance, no chance I would give them even a cent.","No, I would like to complete the study.",250,"English",32,"Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
1003,"Control","Pressure",2023-08-20 16:44:29,2023-08-20 16:50:20,2023-08-20 16:50:21,351,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","It will be another prolific member who has no idea who I am and I do not know who they are.",3.294,8.079,9.202,5,0,"I dont know this person and I could really use the money.","Some experience","They are a random Prolific user.","How much money I would give a stranger","No, I would like to complete the study.",421,"English, Portuguese, Spanish",28,"Male","White","United States","United States","United States","English","No",NA
1004,"Need","Delay",2023-08-20 16:48:11,2023-08-20 16:52:27,2023-08-20 16:52:27,255,"I consent to participate in this study. Take me to the study.",0.56,"You would earn $0.75, and the other person would earn $0.25","They are food insecure and often use the food bank.",12.182,12.182,14.564,1,1,"I am not food insecure and all of my needs are fulfilled.","Some experience","They were food insecure and had multiple meals at soup kitchens.","Altruism based on information perhaps?","No, I would like to complete the study.",373,"English",33,"Female","White","United States","United States","United States","English",NA,NA
1005,"Control","Delay",2023-08-20 16:48:03,2023-08-20 16:55:21,2023-08-20 16:55:21,438,"I consent to participate in this study. Take me to the study.",0.71,"You would earn $0.75, and the other person would earn $0.25","A randomly selected participant that is anonymous to me.",24.552,24.552,26.098,1,0.25,"I wanted a significant majority of the earnings. I decided to keep 3/4ths.","A lot of experience","An anonymous, random selected participant","how ""fair"" people are with it is an unknown person","No, I would like to complete the study.",4033,"English",26,"Female","Black","United States","United States","United States","English","No","Unemployed (and job seeking)"
1006,"Control","Delay",2023-08-20 16:50:11,2023-08-20 16:55:32,2023-08-20 16:55:32,321,"I consent to participate in this study. Take me to the study.",1,"You would earn $0.75, and the other person would earn $0.25","I will never know who they are, and they will never know who I am. We are both anonymous.",15.434,15.434,17.803,1,0,"I don't have any personal connection or ties with the other person. I was thinking about the best decision for myself, and I will never come across this person again. It was the best decision for me.","Some experience","They were also random Prolific workers. I would get a generic name, usually making it a fake person but the money was real.","The purpose of this study was to see how much we would be willing to give to a stranger.","No, I would like to complete the study.",570,"English, Spanish",19,"Male","White","United States","United States","United States","English",NA,NA
1007,"Control","Pressure",2023-08-20 17:04:07,2023-08-20 17:08:53,2023-08-20 17:08:54,286,"I consent to participate in this study. Take me to the study.",0.48,"You would earn $0.75, and the other person would earn $0.25","The other person is an anonymous person also taking part in the task",1.449,1.449,2.206,1,0.5,"I think it would be fair to give them half the money, we both get the most we could to be fair to each other","Some experience","The other person is another randomly chosen prolifc participant","I think you were trying to study how generous other would be","No, I would like to complete the study.",407,"English",22,"Female","White","United States","United States","United States","English","No","Part-Time"
1008,"Need","Pressure",2023-08-20 17:04:21,2023-08-20 17:09:09,2023-08-20 17:09:10,288,"I consent to participate in this study. Take me to the study.",0.64,"You would earn $0.75, and the other person would earn $0.25","The primary objective of this task involves interacting with an individual who faces irregular food access and relies on a nearby soup kitchen for several meals. Mutual anonymity will be maintained, ensuring that neither party learns each other's identities.",1.721,4.562,5.551,3,0,"I want all the money","Some experience","I was asked Tiffany I wanted to give any amount of money to a random person up to 1$","See how nice I am","No, I would like to complete the study.",96,"English",45,"Male","White","United States","United States","United States","English","No",NA
1009,"Need","Delay",2023-08-20 17:09:31,2023-08-20 17:12:13,2023-08-20 17:12:13,161,"I consent to participate in this study. Take me to the study.",0.5,"You would earn $0.75, and the other person would earn $0.25","They lack regular access to food.",6.127,12.714,13.784,5,0,"I feel like this is my money.","A lot of experience","They do not have much access to food and often have to get food from meal kitchens.","Endowment effect","No, I would like to complete the study.",1403,"Spanish, English",27,"Male","Other","United States","United States","United States","English","No","Full-Time"
1010,"Debt","Delay",2023-08-20 17:06:02,2023-08-20 17:14:15,2023-08-20 17:14:16,493,"I consent to participate in this study. Take me to the study.",0.8,"You would earn $0.75, and the other person would earn $0.25","The other participant gave me $1 and neither of us will know who the other one is.",12.988,28.238,31.014,3,1,"I chose $1 because it's not that much money & I just wanted to pay it forward, so to speak.","No experience","They were initially given 25 cents but somehow that amount got bumped to $1 and for whatever reason they decided to gift it to me, the other participant. Neither of us will know who the other one is.","Something about selfishness, greed, or altruism? LoL I'm not really sure, this could be a deodorant commercial for all I know. Hahahaha","No, I would like to complete the study.",325,"English",54,"Female","White","United States","United States","United States","English","No","Full-Time"
